36th & Calvert St NW / Glover Park,38.922581,-77.070334
14th & G St NW,38.898069,-77.031823
Potomac Ave & 35th St S,38.844015,-77.050537
Ohio Dr & West Basin Dr SW / MLK & FDR Memorials,38.88412,-77.04657
11th & F St NW,38.897857,-77.026975
23rd & E St NW ,38.896104,-77.049882
Lynn & 19th St North,38.897315,-77.070993
Rosslyn Metro / Wilson Blvd & Ft Myer Dr,38.8946,-77.072305
Clarendon Blvd & Pierce St,38.893648,-77.076701
Wilson Blvd & N Uhle St,38.891696,-77.0846
N Rhodes & 16th St N,38.892164,-77.079375
Fairfax Village,38.86559,-76.952103
21st St & Constitution Ave NW,38.892459,-77.046567
Wilson Blvd & N Edgewood St,38.889,-77.0925
Columbia Rd & Belmont St NW,38.920669,-77.04368
17th & Rhode Island Ave NW,38.906602,-77.038785
Thomas Circle,38.9059,-77.0325
Wilson Blvd & Franklin Rd,38.8904,-77.0889
Clarendon Blvd & N Fillmore St,38.8881,-77.09308
Clarendon Metro / Wilson Blvd & N Highland St,38.88786,-77.094875
18th St & Pennsylvania Ave NW,38.89968,-77.041539
Maryland & Independence Ave SW,38.887299,-77.018939
4th & E St SW,38.88412,-77.017445
3rd & G St SE,38.881185,-77.001828
7th & R St NW / Shaw Library,38.912719,-77.022155
9th & Upshur St NW,38.9418,-77.0251
1st & Rhode Island Ave NW,38.915417,-77.012289
Columbia Rd & Georgia Ave NW,38.928156,-77.02344
California St & Florida Ave NW,38.917761,-77.04062
Benning Rd & East Capitol St NE / Benning Rd Metro,38.889935,-76.93723
3000 Connecticut Ave NW / National Zoo,38.930282,-77.055599
Anacostia Ave & Benning Rd NE / River Terrace ,38.896544,-76.96012
M St & Pennsylvania Ave NW,38.905126,-77.056887
15th St & Massachusetts Ave SE,38.88732,-76.983569
Congress Heights Metro,38.844711,-76.987823
N Quincy St & Glebe Rd,38.876393,-77.107735
Wilson Blvd & N Oakland St,38.8815,-77.10396
N Veitch  & 20th St N,38.896923,-77.086502
11th & K St NW,38.90268,-77.02674
Fairfax Dr & Wilson Blvd,38.885801,-77.097745
Key Blvd & N Quinn St,38.896015,-77.078107
1st & K St SE,38.87861,-77.006004
39th & Calvert St NW / Stoddert,38.922649,-77.077271
1st & Washington Hospital Center NW,38.928743,-77.012457
Virginia Square Metro / N Monroe St & 9th St N,38.882788,-77.103148
Central Library / N Quincy St & 10th St N,38.88397,-77.10783
Washington Blvd & 10th St N,38.884734,-77.093485
Jefferson Dr & 14th St SW,38.888553,-77.032429
Smithsonian / Jefferson Dr & 12th St SW,38.888767,-77.02858
George Mason Dr & Wilson Blvd,38.87887,-77.1207
6th St & Indiana Ave NW,38.894573,-77.01994
N Veitch & Key Blvd,38.893241,-77.086045
N Adams St & Lee Hwy,38.89593,-77.089006
15th & N Scott St,38.89054,-77.08095
Washington Blvd & 7th St N,38.880834,-77.091129
Ballston Metro / N Stuart & 9th St N,38.881044,-77.111768
N Randolph St & Fairfax Dr,38.882629,-77.109366
Jefferson Memorial,38.879819,-77.037413
Good Hope Rd & 14th St SE,38.866611,-76.985238
Glebe Rd & 11th St N,38.883921,-77.116817
N Quincy St & Wilson Blvd,38.880151,-77.107673
Fairfax Dr & Kenmore St,38.884616,-77.10108
Gallaudet / 8th St & Florida Ave NE,38.90509,-76.9941
20th & L St NW,38.903584,-77.044789
12th & L St NW,38.903819,-77.0284
21st St & Pennsylvania Ave NW,38.901539,-77.046564
19th & K St NW,38.902204,-77.04337
Prince St & Union St,38.803124,-77.040363
Market Square / King St & Royal St,38.804718,-77.043363
Saint Asaph St & Pendleton  St,38.810743,-77.044664
King St & Patrick St,38.805317,-77.049883
15th & K St NW,38.902,-77.03353
Commerce St & Fayette St,38.805648,-77.05293
Henry St & Pendleton St,38.811456,-77.050276
Braddock Rd Metro,38.814577,-77.052808
King St Metro,38.805767,-77.06072
24th & N St NW,38.9066,-77.05152
10th & E St NW,38.895914,-77.026064
22nd & I St NW / Foggy Bottom,38.90088,-77.048911
Utah St & 11th St N ,38.883669,-77.113905
Barton St & 10th St N,38.884961,-77.08777
Arlington Blvd & N Queen St,38.889365,-77.077294
Lincoln Memorial,38.888251,-77.049426
20th St & Virginia Ave NW,38.894722,-77.045128
5th St & Massachusetts Ave NW,38.90093,-77.018677
39th & Veazey St NW,38.943837,-77.077078
Fessenden St & Wisconsin Ave NW,38.954812,-77.082426
M St & Delaware Ave NE,38.905707,-77.003041
Columbia Pike & S Courthouse Rd,38.863833,-77.080319
Walter Reed Community Center / Walter Reed Dr & 16th St S,38.857803,-77.086733
28th St S & S Meade St,38.846222,-77.069275
18th St & Wyoming Ave NW,38.918809,-77.041571
5th & Kennedy St NW,38.956595,-77.019815
Georgia Ave & Emerson St NW,38.949662,-77.027333
14th & Upshur St NW,38.942016,-77.032652
14th St & Colorado Ave NW,38.956432,-77.032947
S Troy St & 26th St S,38.847977,-77.075104
S Four Mile Run Dr & S Shirlington Rd,38.8444,-77.085931
S Oakland St & Columbia Pike,38.860789,-77.09586
S Abingdon St & 36th St S,38.835213,-77.094295
S Arlington Mill Dr & Campbell Ave,38.84232,-77.089555
S Kenmore & 24th St S,38.848454,-77.084918
13th St & Eastern Ave,38.987,-77.029417
Wisconsin Ave & O St NW,38.90849,-77.063586
S George Mason Dr & 13th St S,38.854691,-77.100555
Connecticut & Nebraska Ave NW,38.955016,-77.069956
17th St & Massachusetts Ave NW,38.908142,-77.038359
15th & Euclid St  NW,38.92333,-77.0352
8th & East Capitol St NE,38.889988,-76.995193
New Jersey Ave & R St NW,38.912659,-77.017669
15th & East Capitol St NE,38.889908,-76.983326
8th & F St NE,38.897274,-76.994749
18th St & Rhode Island Ave NE,38.927095,-76.978924
15th & F St NE,38.897195,-76.983575
12th & Irving St NE,38.928644,-76.990955
34th St & Minnesota Ave SE,38.884085,-76.957461
Alabama & MLK Ave SE,38.843222,-76.999388
Pleasant St & MLK Ave SE,38.863897,-76.990037
Neal St & Trinidad Ave NE,38.903732,-76.987211
12th & U St NW,38.916787,-77.028139
S George Mason Dr & Four Mile Run,38.852248,-77.105022
S Stafford & 34th St S,38.834108,-77.087323
N Pershing Dr & Wayne St,38.880705,-77.08596
Columbia Pike & S Orme St,38.867262,-77.072315
3rd St & Pennsylvania Ave SE,38.887378,-77.001955
8th & D St NW,38.894851,-77.02324
3rd & Elm St NW,38.917622,-77.01597
Rhode Island Ave & V St NE,38.918155,-77.004746
Constitution Ave & 2nd St NW/DOL,38.892275,-77.013917
Washington & Independence Ave SW/HHS,38.88731,-77.01397
Independence Ave & L'Enfant Plaza SW/DOE,38.887312,-77.025762
Hamlin & 7th St NE,38.927497,-76.997194
Columbia Pike & S Walter Reed Dr,38.862478,-77.086599
Columbia Pike & S Dinwiddie St / Arlington Mill Community Center,38.856319,-77.11153
Pershing & N George Mason Dr,38.871822,-77.107906
Fenton St & New York Ave ,38.985404,-77.023082
Bethesda Ave & Arlington Rd,38.981103,-77.097426
Montgomery Ave & Waverly St ,38.983838,-77.09221
Fallsgrove Blvd & Fallsgrove Dr,39.096312,-77.192672
Traville Gateway Dr & Gudelsky Dr,39.093783,-77.202501
Norfolk Ave & Fairmont St,38.988562,-77.096539
E Montgomery Ave & Maryland Ave,39.084125,-77.151291
Cordell & Norfolk Ave,38.98954,-77.098029
Frederick Ave & Horners Ln,39.094772,-77.145213
Philadelphia & Maple Ave,38.98128,-77.011336
Maple & Ritchie Ave,38.983627,-77.006311
Silver Spring Metro/Colesville Rd & Wayne Ave,38.99521,-77.02918
Montgomery & East Ln,38.983525,-77.095367
Friendship Hts Metro/Wisconsin Ave & Wisconsin Cir,38.961763,-77.085998
14th & Belmont St NW,38.921074,-77.031887
3rd & Tingey St SE,38.87501,-77.0024
10th & Florida Ave NW,38.920387,-77.025672
Potomac Ave & 8th St SE,38.876737,-76.994468
Crabbs Branch Way & Redland Rd,39.120045,-77.156985
Fallsgrove Dr & W Montgomery Ave,39.099376,-77.188014
Monroe St & Monroe Pl,39.083705,-77.149443
Needwood Rd & Eagles Head Ct,39.123513,-77.15741
East West Hwy & Blair Mill Rd,38.990249,-77.02935
Crabbs Branch Way & Calhoun Pl,39.107709,-77.152072
47th & Elm St,38.982456,-77.091991
Garland Ave & Walden Rd,39.000578,-77.00149
Montgomery College/W Campus Dr & Mannakee St,39.095661,-77.159048
Fenton St & Gist Ave,38.989724,-77.023854
Carroll & Westmoreland Ave,38.975,-77.01121
